method,config_name,n,tp,fp,tn,fn,precision,recall,f1,accuracy,avg_ms
pure_embedding,top_k-20,30,9,1,14,6,0.9,0.6,0.7200000000000001,0.7666666666666667,33.06078910827637
pure_embedding,top_k-50,30,9,1,14,6,0.9,0.6,0.7200000000000001,0.7666666666666667,33.47005049387614
pure_embedding,top_k-10,30,9,1,14,6,0.9,0.6,0.7200000000000001,0.7666666666666667,40.55179754892985
pure_embedding,top_k-5,30,9,1,14,6,0.9,0.6,0.7200000000000001,0.7666666666666667,41.14525318145752
pure_embedding,top_k-3,30,9,1,14,6,0.9,0.6,0.7200000000000001,0.7666666666666667,41.474342346191406
direct_llm,top_n-5,30,5,0,15,10,1.0,0.3333333333333333,0.5,0.6666666666666666,2774.0745306015015
direct_llm,top_n-10,30,8,0,15,7,1.0,0.5333333333333333,0.6956521739130436,0.7666666666666667,2556.311504046122
direct_llm,top_n-50,30,12,0,15,3,1.0,0.8,0.888888888888889,0.9,3040.6052350997925
direct_llm,top_n-25,30,12,0,15,3,1.0,0.8,0.888888888888889,0.9,3435.26451587677
rag,top_k-10,30,10,1,14,5,0.9090909090909091,0.6666666666666666,0.7692307692307692,0.8,2190.2635176976523
rag,top_k-1,30,10,0,15,5,1.0,0.6666666666666666,0.8,0.8333333333333334,2519.1855907440186
rag,top_k-5,30,10,0,15,5,1.0,0.6666666666666666,0.8,0.8333333333333334,2596.7203299204507
hybrid_rag,top_k_dense-5_top_k_bm25-5_top_k_fused-5_w_dense-0_5,30,9,0,15,6,1.0,0.6,0.7499999999999999,0.8,1845.4684257507324
hybrid_rag,top_k_dense-5_top_k_bm25-5_top_k_fused-10_w_dense-0_8,30,10,1,14,5,0.9090909090909091,0.6666666666666666,0.7692307692307692,0.8,2173.8439321517944
hybrid_rag,top_k_dense-5_top_k_bm25-5_top_k_fused-5_w_dense-0_8,30,10,0,15,5,1.0,0.6666666666666666,0.8,0.8333333333333334,1822.4183082580566
hybrid_rag,top_k_dense-5_top_k_bm25-5_top_k_fused-1_w_dense-0_8,30,10,0,15,5,1.0,0.6666666666666666,0.8,0.8333333333333334,2093.842045466105
hybrid_rag,top_k_dense-5_top_k_bm25-5_top_k_fused-1_w_dense-0_5,30,10,0,15,5,1.0,0.6666666666666666,0.8,0.8333333333333334,2158.946108818054
hybrid_rag,top_k_dense-5_top_k_bm25-5_top_k_fused-1_w_dense-0_2,30,10,0,15,5,1.0,0.6666666666666666,0.8,0.8333333333333334,2273.1892347335815
hybrid_rag,top_k_dense-5_top_k_bm25-5_top_k_fused-10_w_dense-0_5,30,11,0,15,4,1.0,0.7333333333333333,0.846153846153846,0.8666666666666667,1935.8829657236736
hybrid_rag,top_k_dense-5_top_k_bm25-5_top_k_fused-10_w_dense-0_2,30,12,1,14,3,0.9230769230769231,0.8,0.8571428571428571,0.8666666666666667,2067.4630562464395
hybrid_rag,top_k_dense-5_top_k_bm25-5_top_k_fused-5_w_dense-0_2,30,12,0,15,3,1.0,0.8,0.888888888888889,0.9,2592.1600023905435
